Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;96726970-0;CHILEMAT SpA;4728143;22/04/2025;22/04/2025 08:34:06;;0;580488;110293;;;690781;;;;;0;;;;0;;;;
2;33;Del Giro;96726970-0;CHILEMAT SpA;4728145;22/04/2025;22/04/2025 08:34:06;;0;61998;11780;;;73778;;;;;0;;;;0;;;;
3;33;Del Giro;76821330-5;IMPERIAL S.A.;19286245;21/04/2025;22/04/2025 09:40:02;;0;3515268;667901;;;4183169;;;;;0;;;;0;;;;
4;33;Del Giro;96726970-0;CHILEMAT SpA;4729504;23/04/2025;23/04/2025 12:06:29;;0;1008686;191650;;;1200337;;;;;0;;;;0;;;;
5;33;Del Giro;96726970-0;CHILEMAT SpA;4729641;23/04/2025;23/04/2025 12:19:36;;0;62310;11839;;;74149;;;;;0;;;;0;;;;
6;33;Del Giro;96726970-0;CHILEMAT SpA;4730218;23/04/2025;23/04/2025 12:57:43;;0;1898766;360765;;;2259531;;;;;0;;;;0;;;;
7;33;Del Giro;96726970-0;CHILEMAT SpA;4730219;23/04/2025;23/04/2025 12:57:43;;0;266167;50572;;;316739;;;;;0;;;;0;;;;
8;33;Del Giro;76543990-6;DISTRIBUIDORA ALADDIN Y CIA. LIMITADA;163400;23/04/2025;23/04/2025 20:01:11;;0;213075;40484;;;253559;;;;;0;;;;0;;;;
9;33;Del Giro;96726970-0;CHILEMAT SpA;4730529;24/04/2025;24/04/2025 14:06:04;;0;972073;184694;;;1156767;;;;;0;;;;0;;;;
10;33;Del Giro;96726970-0;CHILEMAT SpA;4731594;25/04/2025;25/04/2025 12:53:28;;0;206090;39157;;;245247;;;;;0;;;;0;;;;
11;33;Del Giro;96726970-0;CHILEMAT SpA;4731693;25/04/2025;25/04/2025 12:58:02;;0;154770;29406;;;184176;;;;;0;;;;0;;;;
12;33;Del Giro;96726970-0;CHILEMAT SpA;4732844;25/04/2025;25/04/2025 15:07:51;;0;1711458;325177;;;2036635;;;;;0;;;;0;;;;
13;33;Del Giro;76125278-K;TRANSPORTES LEONERA LIMITADA;11455;25/04/2025;25/04/2025 23:49:49;;0;540000;102600;;;642600;;;;;0;;;;0;;;;
14;33;Del Giro;78809560-0;DISTRIBUIDORA Y COMERCIAL DIMAK LIMITADA;16466081;26/04/2025;26/04/2025 04:14:23;;0;32203;6118;;;38321;;;;;0;;;;0;;;;
15;33;Del Giro;78809560-0;DISTRIBUIDORA Y COMERCIAL DIMAK LIMITADA;16466082;26/04/2025;26/04/2025 04:15:42;;0;428550;81424;;;509974;;;;;0;;;;0;;;;
