Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;96726970-0;CHILEMAT SpA;4859792;23/10/2025;23/10/2025 12:09:52;;0;2713500;515565;;;3229065;;;;;0;;;;0;;;;
2;33;Del Giro;96726970-0;CHILEMAT SpA;4860530;23/10/2025;23/10/2025 13:32:24;;0;119427;22691;;;142118;;;;;0;;;;0;;;;
3;33;Del Giro;78809560-0;DISTRIBUIDORA Y COMERCIAL DIMAK LIMITADA;17479079;24/10/2025;24/10/2025 21:00:00;;0;26070;4953;;;31023;;;;;0;;;;0;;;;
4;33;Del Giro;78809560-0;DISTRIBUIDORA Y COMERCIAL DIMAK LIMITADA;17479080;24/10/2025;24/10/2025 21:00:29;;0;110774;21047;;;131821;;;;;0;;;;0;;;;
5;33;Del Giro;96726970-0;CHILEMAT SpA;4861818;27/10/2025;27/10/2025 11:26:52;;0;995955;189231;;;1185186;;;;;0;;;;0;;;;
6;33;Del Giro;96726970-0;CHILEMAT SpA;4862258;27/10/2025;27/10/2025 12:11:42;;0;3229427;613591;;;3843018;;;;;0;;;;0;;;;
7;33;Del Giro;96726970-0;CHILEMAT SpA;4862447;27/10/2025;27/10/2025 12:33:41;;0;951124;180714;;;1131838;;;;;0;;;;0;;;;
8;33;Del Giro;99061000-2;HDI SEGUROS S.A.;9612925;27/10/2025;28/10/2025 06:09:30;;50195;77658;14755;;;142608;;;;;0;;;;0;;;;
9;33;Del Giro;96726970-0;CHILEMAT SpA;4863456;28/10/2025;28/10/2025 13:36:08;;0;13153;2499;;;15653;;;;;0;;;;0;;;;
10;33;Del Giro;96726970-0;CHILEMAT SpA;4865527;29/10/2025;29/10/2025 12:37:40;;0;2617575;497339;;;3114914;;;;;0;;;;0;;;;
11;33;Del Giro;76072694-K;COMERCIAL SOLUEX SpA;552026;30/10/2025;30/10/2025 10:18:17;;0;86160;16370;;;102530;;;;;0;;;;0;;;;
12;33;Del Giro;96726970-0;CHILEMAT SpA;4866146;30/10/2025;30/10/2025 11:27:02;;0;178398;33896;;;212293;;;;;0;;;;0;;;;
13;33;Del Giro;96726970-0;CHILEMAT SpA;4866147;30/10/2025;30/10/2025 11:27:02;;0;192960;36662;;;229622;;;;;0;;;;0;;;;
14;33;Del Giro;96726970-0;CHILEMAT SpA;4866400;30/10/2025;30/10/2025 12:08:16;;0;126932;24117;;;151048;;;;;0;;;;0;;;;
15;33;Del Giro;96726970-0;CHILEMAT SpA;4866640;30/10/2025;30/10/2025 12:35:48;;0;554760;105404;;;660164;;;;;0;;;;0;;;;
16;33;Del Giro;96726970-0;CHILEMAT SpA;4867237;30/10/2025;30/10/2025 14:32:33;;0;439587;83522;;;523109;;;;;0;;;;0;;;;
17;33;Del Giro;96726970-0;CHILEMAT SpA;4867445;30/10/2025;30/10/2025 16:06:34;;0;1075241;204296;;;1279537;;;;;0;;;;0;;;;
18;33;Del Giro;96726970-0;CHILEMAT SpA;4868239;31/10/2025;31/10/2025 15:30:00;;0;323567;61478;;;385044;;;;;0;;;;0;;;;
19;33;Del Giro;96726970-0;CHILEMAT SpA;4868240;31/10/2025;31/10/2025 15:30:00;;0;686676;130468;;;817145;;;;;0;;;;0;;;;
20;33;Del Giro;96726970-0;CHILEMAT SpA;4868241;31/10/2025;31/10/2025 15:30:00;;0;1115377;211922;;;1327299;;;;;0;;;;0;;;;
21;33;Del Giro;96726970-0;CHILEMAT SpA;4868242;31/10/2025;31/10/2025 15:30:00;;0;225643;42872;;;268515;;;;;0;;;;0;;;;
22;33;Del Giro;96726970-0;CHILEMAT SpA;4868328;31/10/2025;31/10/2025 15:43:35;;0;581128;110414;;;691542;;;;;0;;;;0;;;;
23;33;Del Giro;96726970-0;CHILEMAT SpA;4868329;31/10/2025;31/10/2025 15:43:35;;0;124600;23674;;;148274;;;;;0;;;;0;;;;
24;33;Del Giro;96726970-0;CHILEMAT SpA;4868330;31/10/2025;31/10/2025 15:43:35;;0;557066;105843;;;662909;;;;;0;;;;0;;;;
25;33;Del Giro;96726970-0;CHILEMAT SpA;4868471;31/10/2025;31/10/2025 15:49:01;;0;299513;56907;;;356421;;;;;0;;;;0;;;;
26;33;Del Giro;76058647-1;VERISURE CHILE SPA;11496285;01/11/2025;01/11/2025 02:38:13;;0;38734;7359;;;46093;;;;;0;;;;0;;;;
27;33;Del Giro;76058647-1;VERISURE CHILE SPA;11499464;01/11/2025;01/11/2025 02:45:41;;0;49871;9475;;;59346;;;;;0;;;;0;;;;
28;33;Del Giro;76943048-2;COMERCIAL Y SERVICIOS C Y V LIMITADA;137116;03/11/2025;03/11/2025 09:08:01;;0;83813;15924;;;114517;;;;;0;;;;0;28;14780;0;
