Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;96726970-0;CHILEMAT SpA;4997007;22/04/2026;22/04/2026 13:45:49;;0;466722;88677;;;555399;;;;;0;;;;0;;;;
2;33;Del Giro;96726970-0;CHILEMAT SpA;4997473;22/04/2026;22/04/2026 13:56:52;;0;561480;106681;;;668161;;;;;0;;;;0;;;;
3;33;Del Giro;76072694-K;COMERCIAL SOLUEX SpA;583541;23/04/2026;23/04/2026 11:49:56;;0;234188;44496;;;278684;;;;;0;;;;0;;;;
4;33;Del Giro;96726970-0;CHILEMAT SpA;4998050;23/04/2026;23/04/2026 13:18:45;;0;897264;170480;;;1067744;;;;;0;;;;0;;;;
5;33;Del Giro;96726970-0;CHILEMAT SpA;4999118;24/04/2026;24/04/2026 13:01:27;;0;407025;77335;;;484360;;;;;0;;;;0;;;;
6;33;Del Giro;96726970-0;CHILEMAT SpA;4999165;24/04/2026;24/04/2026 13:02:50;;0;332229;63123;;;395352;;;;;0;;;;0;;;;
7;33;Del Giro;96726970-0;CHILEMAT SpA;4999264;24/04/2026;24/04/2026 13:06:52;;0;608930;115697;;;724626;;;;;0;;;;0;;;;
8;33;Del Giro;96726970-0;CHILEMAT SpA;4999265;24/04/2026;24/04/2026 13:06:52;;0;1130886;214868;;;1345755;;;;;0;;;;0;;;;
9;33;Del Giro;96726970-0;CHILEMAT SpA;4999341;24/04/2026;24/04/2026 13:08:55;;0;152760;29024;;;181784;;;;;0;;;;0;;;;
10;33;Del Giro;78809560-0;DISTRIBUIDORA Y COMERCIAL DIMAK LIMITADA;18361022;24/04/2026;24/04/2026 20:16:46;;0;32340;6144;;;38484;;;;;0;;;;0;;;;
11;33;Del Giro;78809560-0;DISTRIBUIDORA Y COMERCIAL DIMAK LIMITADA;18361023;24/04/2026;24/04/2026 20:17:43;;0;86494;16433;;;102927;;;;;0;;;;0;;;;
12;33;Del Giro;78809560-0;DISTRIBUIDORA Y COMERCIAL DIMAK LIMITADA;18361024;24/04/2026;24/04/2026 20:17:50;;0;3024;574;;;3598;;;;;0;;;;0;;;;
13;33;Del Giro;96726970-0;CHILEMAT SpA;5000443;27/04/2026;27/04/2026 14:26:47;;0;1016224;193083;;;1209306;;;;;0;;;;0;;;;
14;33;Del Giro;96726970-0;CHILEMAT SpA;5000447;27/04/2026;27/04/2026 14:26:47;;0;2032448;386165;;;2418613;;;;;0;;;;0;;;;
15;33;Del Giro;96726970-0;CHILEMAT SpA;5000611;27/04/2026;27/04/2026 14:31:47;;0;631542;119993;;;751535;;;;;0;;;;0;;;;
16;33;Del Giro;96726970-0;CHILEMAT SpA;5000626;27/04/2026;27/04/2026 14:31:47;;0;70036;13307;;;83343;;;;;0;;;;0;;;;
17;33;Del Giro;96726970-0;CHILEMAT SpA;5000661;27/04/2026;27/04/2026 14:32:48;;0;209040;39718;;;248758;;;;;0;;;;0;;;;
18;33;Del Giro;96726970-0;CHILEMAT SpA;5001337;27/04/2026;27/04/2026 15:34:44;;0;186508;35437;;;221944;;;;;0;;;;0;;;;
19;33;Del Giro;96726970-0;CHILEMAT SpA;5001338;27/04/2026;27/04/2026 15:34:44;;0;1706962;324323;;;2031285;;;;;0;;;;0;;;;
20;33;Del Giro;96726970-0;CHILEMAT SpA;5001393;27/04/2026;27/04/2026 17:15:14;;0;76380;14512;;;90892;;;;;0;;;;0;;;;
21;33;Del Giro;96726970-0;CHILEMAT SpA;5001548;28/04/2026;28/04/2026 10:45:33;;0;474736;90200;;;564936;;;;;0;;;;0;;;;
22;33;Del Giro;96726970-0;CHILEMAT SpA;5001828;28/04/2026;28/04/2026 10:52:58;;0;1219869;231775;;;1451644;;;;;0;;;;0;;;;
23;33;Del Giro;96726970-0;CHILEMAT SpA;5001829;28/04/2026;28/04/2026 10:52:58;;0;204759;38904;;;243663;;;;;0;;;;0;;;;
24;33;Del Giro;96726970-0;CHILEMAT SpA;5001830;28/04/2026;28/04/2026 10:52:58;;0;523931;99547;;;623477;;;;;0;;;;0;;;;
25;33;Del Giro;96726970-0;CHILEMAT SpA;5001886;28/04/2026;28/04/2026 10:53:51;;0;584408;111037;;;695445;;;;;0;;;;0;;;;
26;33;Del Giro;96726970-0;CHILEMAT SpA;5002265;28/04/2026;28/04/2026 11:02:45;;0;149835;28469;;;178304;;;;;0;;;;0;;;;
27;33;Del Giro;96726970-0;CHILEMAT SpA;5002293;28/04/2026;28/04/2026 11:04:56;;0;94727;17998;;;112725;;;;;0;;;;0;;;;
28;33;Del Giro;96726970-0;CHILEMAT SpA;5002302;28/04/2026;28/04/2026 11:04:56;;0;1652018;313883;;;1965901;;;;;0;;;;0;;;;
29;33;Del Giro;96726970-0;CHILEMAT SpA;5002676;28/04/2026;28/04/2026 12:01:29;;0;1628100;309339;;;1937439;;;;;0;;;;0;;;;
30;33;Del Giro;96726970-0;CHILEMAT SpA;5002874;28/04/2026;28/04/2026 13:46:53;;0;770807;146453;;;917260;;;;;0;;;;0;;;;
31;33;Del Giro;99061000-2;HDI SEGUROS S.A.;10122112;28/04/2026;29/04/2026 07:55:23;;50714;78461;14908;;;144083;;;;;0;;;;0;;;;
32;33;Del Giro;96726970-0;CHILEMAT SpA;5003473;29/04/2026;29/04/2026 09:57:50;;0;1542283;293034;;;1835317;;;;;0;;;;0;;;;
33;33;Del Giro;96726970-0;CHILEMAT SpA;5003558;29/04/2026;29/04/2026 10:00:50;;0;263776;50118;;;313894;;;;;0;;;;0;;;;
34;33;Del Giro;76821330-5;IMPERIAL S.A.;20164211;28/04/2026;29/04/2026 12:01:21;;0;134618;25577;;;160195;;;;;0;;;;0;;;;
35;33;Del Giro;96726970-0;CHILEMAT SpA;5004062;29/04/2026;29/04/2026 12:41:01;;0;703500;133665;;;837165;;;;;0;;;;0;;;;
36;33;Del Giro;76329526-5;COMERCIAL FULL-SELLO LTDA.;138971;29/04/2026;29/04/2026 15:09:45;;0;152470;28969;;;181439;;;;;0;;;;0;;;;
37;33;Del Giro;96726970-0;CHILEMAT SpA;5004487;29/04/2026;29/04/2026 16:45:30;;0;1856421;352720;;;2209141;;;;;0;;;;0;;;;
38;33;Del Giro;96726970-0;CHILEMAT SpA;5004488;29/04/2026;29/04/2026 16:45:30;;0;557001;105830;;;662831;;;;;0;;;;0;;;;
39;33;Del Giro;96726970-0;CHILEMAT SpA;5004489;29/04/2026;29/04/2026 16:45:30;;0;998377;189692;;;1188069;;;;;0;;;;0;;;;
