Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;96726970-0;CHILEMAT SpA;4949757;20/02/2026;20/02/2026 13:10:23;;0;14805771;2813096;;;17618867;;;;;0;;;;0;;;;
2;33;Del Giro;96726970-0;CHILEMAT SpA;4950134;20/02/2026;20/02/2026 13:37:42;;0;559283;106264;;;665546;;;;;0;;;;0;;;;
3;33;Del Giro;96726970-0;CHILEMAT SpA;4950348;20/02/2026;20/02/2026 13:54:36;;0;159469;30299;;;189769;;;;;0;;;;0;;;;
4;33;Del Giro;78809560-0;DISTRIBUIDORA Y COMERCIAL DIMAK LIMITADA;18048507;20/02/2026;20/02/2026 18:19:19;;0;24328;4622;;;28950;;;;;0;;;;0;;;;
5;33;Del Giro;96726970-0;CHILEMAT SpA;4950597;23/02/2026;23/02/2026 14:09:29;;0;109390;20784;;;130174;;;;;0;;;;0;;;;
6;33;Del Giro;96726970-0;CHILEMAT SpA;4952051;24/02/2026;24/02/2026 13:27:21;;0;259883;49378;;;309261;;;;;0;;;;0;;;;
7;33;Del Giro;76453860-9;SEAT MADERAS LTDA;549;24/02/2026;24/02/2026 15:02:44;;0;1362000;258780;;;1620780;;;;;0;;;;0;;;;
8;33;Del Giro;78140178-1;COMERCIALIZADORA DE ARTICULOS DE FERRETERIA CLAUDIO ANDRES ORLANDO TOR;282;25/02/2026;25/02/2026 10:36:01;;0;985440;187234;;;1172674;;;;;0;;;;0;;;;
9;33;Del Giro;76072694-K;COMERCIAL SOLUEX SpA;571276;25/02/2026;25/02/2026 10:36:58;;0;307530;58431;;;365961;;;;;0;;;;0;;;;
10;33;Del Giro;96726970-0;CHILEMAT SpA;4952666;25/02/2026;25/02/2026 10:38:18;;0;72013;13683;;;85696;;;;;0;;;;0;;;;
11;33;Del Giro;96726970-0;CHILEMAT SpA;4952747;25/02/2026;25/02/2026 10:50:50;;0;79797;15161;;;94958;;;;;0;;;;0;;;;
12;33;Del Giro;96726970-0;CHILEMAT SpA;4953206;25/02/2026;25/02/2026 11:49:32;;0;361499;68685;;;430183;;;;;0;;;;0;;;;
13;33;Del Giro;96726970-0;CHILEMAT SpA;4953654;25/02/2026;25/02/2026 12:52:23;;0;1286900;244511;;;1531412;;;;;0;;;;0;;;;
14;33;Del Giro;76908270-0;Recicla Bio Bio Limitada;10508;25/02/2026;25/02/2026 15:20:06;;0;983133;186795;;;1169928;;;;;0;;;;0;;;;
15;33;Del Giro;96726970-0;CHILEMAT SpA;4954667;26/02/2026;26/02/2026 11:42:35;;0;154770;29406;;;184176;;;;;0;;;;0;;;;
16;33;Del Giro;96726970-0;CHILEMAT SpA;4954795;26/02/2026;26/02/2026 12:52:27;;0;195708;37185;;;232893;;;;;0;;;;0;;;;
17;33;Del Giro;96726970-0;CHILEMAT SpA;4954867;26/02/2026;26/02/2026 14:26:29;;0;67144;12757;;;79901;;;;;0;;;;0;;;;
18;33;Del Giro;96726970-0;CHILEMAT SpA;4955016;26/02/2026;26/02/2026 16:50:54;;0;851176;161723;;;1012899;;;;;0;;;;0;;;;
