Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;96726970-0;CHILEMAT SpA;4813888;25/08/2025;25/08/2025 13:04:51;;0;278727;52958;;;331685;;;;;0;;;;0;;;;
2;33;Del Giro;96726970-0;CHILEMAT SpA;4814162;25/08/2025;25/08/2025 13:22:20;;0;539866;102575;;;642440;;;;;0;;;;0;;;;
3;33;Del Giro;96726970-0;CHILEMAT SpA;4814176;25/08/2025;25/08/2025 13:22:20;;0;132645;25203;;;157847;;;;;0;;;;0;;;;
4;33;Del Giro;78484900-7;TECNICAL COMERCIALIZADORA DE  ALUMINIOS;480626;26/08/2025;26/08/2025 10:20:39;;0;235604;44765;;;280369;;;;;0;;;;0;;;;
5;33;Del Giro;96726970-0;CHILEMAT SpA;4815102;26/08/2025;26/08/2025 12:33:16;;0;256275;48692;;;304967;;;;;0;;;;0;;;;
6;33;Del Giro;96726970-0;CHILEMAT SpA;4815300;26/08/2025;26/08/2025 12:45:19;;0;392236;74525;;;466761;;;;;0;;;;0;;;;
7;33;Del Giro;76041579-0;PROVEEDORES INTEGRALES DEL SUR S.A.;1695140;27/08/2025;26/08/2025 14:51:43;;0;73220;13912;;;87132;;;;;0;;;;0;;;;
8;33;Del Giro;96726970-0;CHILEMAT SpA;4816107;27/08/2025;27/08/2025 12:45:05;;0;1709344;324775;;;2034120;;;;;0;;;;0;;;;
9;33;Del Giro;96726970-0;CHILEMAT SpA;4816428;27/08/2025;27/08/2025 13:24:58;;0;1772820;336836;;;2109656;;;;;0;;;;0;;;;
10;33;Del Giro;96726970-0;CHILEMAT SpA;4816513;27/08/2025;27/08/2025 13:33:32;;0;894534;169962;;;1064496;;;;;0;;;;0;;;;
11;33;Del Giro;96726970-0;CHILEMAT SpA;4817102;27/08/2025;27/08/2025 14:13:17;;0;91384;17363;;;108747;;;;;0;;;;0;;;;
12;33;Del Giro;96726970-0;CHILEMAT SpA;4817103;27/08/2025;27/08/2025 14:13:17;;0;278732;52959;;;331691;;;;;0;;;;0;;;;
13;33;Del Giro;81290800-6;COMPAÑÍA AGROPECUARIA COPEVAL S.A.;6087888;27/08/2025;27/08/2025 16:14:19;;0;2304303;437818;;;2742121;;;;;0;;;;0;;;;
14;33;Del Giro;96726970-0;CHILEMAT SpA;4817679;27/08/2025;27/08/2025 16:39:14;;0;170850;32462;;;203312;;;;;0;;;;0;;;;
15;33;Del Giro;11061720-8;LORENA GINETTE ARAVENA ORTIZ;11457;28/08/2025;28/08/2025 08:19:14;;0;27130;5155;;;32285;;;;;0;;;;0;;;;
16;33;Del Giro;96726970-0;CHILEMAT SpA;4818392;28/08/2025;28/08/2025 10:37:31;;0;184418;35039;;;219457;;;;;0;;;;0;;;;
