Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;96726970-0;CHILEMAT SpA;4970234;23/03/2026;23/03/2026 09:03:33;;0;15070;2863;;;17933;;;;;0;;;;0;;;;
2;33;Del Giro;96726970-0;CHILEMAT SpA;4970246;23/03/2026;23/03/2026 09:04:59;;0;126630;24060;;;150690;;;;;0;;;;0;;;;
3;33;Del Giro;96726970-0;CHILEMAT SpA;4970252;23/03/2026;23/03/2026 09:04:59;;0;115002;21850;;;136853;;;;;0;;;;0;;;;
4;33;Del Giro;96726970-0;CHILEMAT SpA;4970253;23/03/2026;23/03/2026 09:04:59;;0;115002;21850;;;136853;;;;;0;;;;0;;;;
5;33;Del Giro;96726970-0;CHILEMAT SpA;4970314;23/03/2026;23/03/2026 14:24:59;;0;450320;85561;;;535881;;;;;0;;;;0;;;;
6;33;Del Giro;96726970-0;CHILEMAT SpA;4970559;23/03/2026;23/03/2026 14:32:53;;0;119223;22652;;;141876;;;;;0;;;;0;;;;
7;33;Del Giro;96726970-0;CHILEMAT SpA;4970558;23/03/2026;23/03/2026 14:32:53;;0;102096;19398;;;121494;;;;;0;;;;0;;;;
8;33;Del Giro;96726970-0;CHILEMAT SpA;4971174;23/03/2026;23/03/2026 14:47:00;;0;12472000;2369680;;;14841680;;;;;0;;;;0;;;;
9;33;Del Giro;81290800-6;COMPAÑÍA AGROPECUARIA COPEVAL S.A.;6376467;24/03/2026;24/03/2026 08:41:23;;0;2656491;504733;;;3161224;;;;;0;;;;0;;;;
10;33;Del Giro;81290800-6;COMPAÑÍA AGROPECUARIA COPEVAL S.A.;6376468;24/03/2026;24/03/2026 08:41:23;;0;431170;81922;;;513092;;;;;0;;;;0;;;;
11;33;Del Giro;96726970-0;CHILEMAT SpA;4971604;24/03/2026;24/03/2026 13:17:33;;0;147201;27968;;;175170;;;;;0;;;;0;;;;
12;33;Del Giro;78140178-1;COMERCIALIZADORA DE ARTICULOS DE FERRETERIA CLAUDIO ANDRES ORLANDO TOR;327;24/03/2026;24/03/2026 13:22:14;;0;98800;18772;;;117572;;;;;0;;;;0;;;;
13;33;Del Giro;96726970-0;CHILEMAT SpA;4972293;24/03/2026;24/03/2026 13:34:58;;0;577686;109760;;;687446;;;;;0;;;;0;;;;
14;33;Del Giro;76852784-9;Diesel Planet SpA.;51061;24/03/2026;24/03/2026 14:57:18;;0;43775;8317;;;52092;;;;;0;;;;0;;;;
15;33;Del Giro;81290800-6;COMPAÑÍA AGROPECUARIA COPEVAL S.A.;6376523;25/03/2026;25/03/2026 08:44:09;;0;4044142;768387;;;4812529;;;;;0;;;;0;;;;
16;33;Del Giro;96726970-0;CHILEMAT SpA;4972537;25/03/2026;25/03/2026 08:56:01;;0;2081363;395459;;;2476822;;;;;0;;;;0;;;;
17;33;Del Giro;79894160-7;LUVAL S A;1566395;25/03/2026;25/03/2026 10:10:58;;0;43000;8170;;;51170;;;;;0;;;;0;;;;
18;33;Del Giro;78129190-0;FORESTAL LEON LIMITA;76070;25/03/2026;25/03/2026 14:03:17;;0;3830400;727776;;;4558176;;;;;0;;;;0;;;;
19;33;Del Giro;96726970-0;CHILEMAT SpA;4972750;25/03/2026;25/03/2026 14:23:31;;0;1262165;239811;;;1501977;;;;;0;;;;0;;;;
20;33;Del Giro;96726970-0;CHILEMAT SpA;4972752;25/03/2026;25/03/2026 14:23:31;;0;135898;25821;;;161719;;;;;0;;;;0;;;;
21;33;Del Giro;96726970-0;CHILEMAT SpA;4972751;25/03/2026;25/03/2026 14:23:31;;0;94154;17889;;;112044;;;;;0;;;;0;;;;
22;33;Del Giro;96726970-0;CHILEMAT SpA;4972754;25/03/2026;25/03/2026 14:23:31;;0;171542;32593;;;204136;;;;;0;;;;0;;;;
23;33;Del Giro;96726970-0;CHILEMAT SpA;4972753;25/03/2026;25/03/2026 14:23:31;;0;194561;36967;;;231528;;;;;0;;;;0;;;;
24;33;Del Giro;96726970-0;CHILEMAT SpA;4973072;25/03/2026;25/03/2026 14:31:52;;0;95689;18181;;;113870;;;;;0;;;;0;;;;
25;33;Del Giro;96726970-0;CHILEMAT SpA;4973391;25/03/2026;25/03/2026 14:39:47;;0;23886;4538;;;28424;;;;;0;;;;0;;;;
26;33;Del Giro;96726970-0;CHILEMAT SpA;4973633;25/03/2026;25/03/2026 14:44:55;;0;336112;63861;;;399974;;;;;0;;;;0;;;;
27;33;Del Giro;96726970-0;CHILEMAT SpA;4973725;26/03/2026;26/03/2026 08:28:52;;0;120630;22920;;;143550;;;;;0;;;;0;;;;
28;33;Del Giro;96726970-0;CHILEMAT SpA;4973788;26/03/2026;26/03/2026 14:26:44;;0;2405367;457020;;;2862387;;;;;0;;;;0;;;;
29;33;Del Giro;96726970-0;CHILEMAT SpA;4973957;26/03/2026;26/03/2026 14:32:48;;0;790473;150190;;;940663;;;;;0;;;;0;;;;
30;33;Del Giro;96726970-0;CHILEMAT SpA;4974114;26/03/2026;26/03/2026 14:37:30;;0;1149271;218362;;;1367633;;;;;0;;;;0;;;;
31;33;Del Giro;96726970-0;CHILEMAT SpA;4974136;26/03/2026;26/03/2026 14:37:30;;0;74647;14183;;;88830;;;;;0;;;;0;;;;
32;33;Del Giro;96726970-0;CHILEMAT SpA;4974232;26/03/2026;26/03/2026 14:40:51;;0;335191;63686;;;398878;;;;;0;;;;0;;;;
33;33;Del Giro;96726970-0;CHILEMAT SpA;4974231;26/03/2026;26/03/2026 14:40:51;;0;178476;33910;;;212386;;;;;0;;;;0;;;;
34;33;Del Giro;96726970-0;CHILEMAT SpA;4974234;26/03/2026;26/03/2026 14:40:51;;0;50127;9524;;;59652;;;;;0;;;;0;;;;
35;33;Del Giro;96726970-0;CHILEMAT SpA;4974233;26/03/2026;26/03/2026 14:40:51;;0;479261;91060;;;570320;;;;;0;;;;0;;;;
36;33;Del Giro;96726970-0;CHILEMAT SpA;4974326;26/03/2026;26/03/2026 14:41:46;;0;180246;34247;;;214492;;;;;0;;;;0;;;;
37;33;Del Giro;96726970-0;CHILEMAT SpA;4974569;26/03/2026;26/03/2026 14:49:35;;0;322706;61314;;;384020;;;;;0;;;;0;;;;
38;33;Del Giro;76072694-K;COMERCIAL SOLUEX SpA;577943;26/03/2026;26/03/2026 16:04:51;;0;235013;44652;;;279665;;;;;0;;;;0;;;;
39;33;Del Giro;96726970-0;CHILEMAT SpA;4974795;26/03/2026;26/03/2026 16:07:57;;0;462684;87910;;;550594;;;;;0;;;;0;;;;
40;33;Del Giro;96726970-0;CHILEMAT SpA;4975539;27/03/2026;27/03/2026 10:59:58;;0;115213;21891;;;137104;;;;;0;;;;0;;;;
41;33;Del Giro;96726970-0;CHILEMAT SpA;4975579;27/03/2026;27/03/2026 11:08:18;;0;9974846;1895221;;;11870067;;;;;0;;;;0;;;;
42;33;Del Giro;96726970-0;CHILEMAT SpA;4975921;27/03/2026;27/03/2026 11:21:55;;0;301500;57285;;;358785;;;;;0;;;;0;;;;
43;33;Del Giro;96726970-0;CHILEMAT SpA;4976476;27/03/2026;27/03/2026 12:11:41;;0;295996;56239;;;352235;;;;;0;;;;0;;;;
44;33;Del Giro;96726970-0;CHILEMAT SpA;4976566;27/03/2026;27/03/2026 12:14:59;;0;2966157;563570;;;3529727;;;;;0;;;;0;;;;
45;33;Del Giro;96726970-0;CHILEMAT SpA;4976720;27/03/2026;27/03/2026 14:50:53;;0;17708;3365;;;21073;;;;;0;;;;0;;;;
46;33;Del Giro;96726970-0;CHILEMAT SpA;4976721;27/03/2026;27/03/2026 14:50:53;;0;77938;14808;;;92746;;;;;0;;;;0;;;;
47;33;Del Giro;96726970-0;CHILEMAT SpA;4976738;27/03/2026;27/03/2026 14:50:53;;0;619086;117626;;;736712;;;;;0;;;;0;;;;
48;33;Del Giro;96726970-0;CHILEMAT SpA;4976741;27/03/2026;27/03/2026 14:50:53;;0;124821;23716;;;148537;;;;;0;;;;0;;;;
49;33;Del Giro;96726970-0;CHILEMAT SpA;4977098;27/03/2026;27/03/2026 16:47:34;;0;478611;90936;;;569547;;;;;0;;;;0;;;;
50;33;Del Giro;78809560-0;DISTRIBUIDORA Y COMERCIAL DIMAK LIMITADA;18226520;27/03/2026;27/03/2026 17:55:55;;0;107992;20518;;;128510;;;;;0;;;;0;;;;
