Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;96726970-0;CHILEMAT SpA;4704673;25/03/2025;25/03/2025 12:12:10;;0;199834;37969;;;237803;;;;;0;;;;0;;;;
2;33;Del Giro;96726970-0;CHILEMAT SpA;4705381;25/03/2025;25/03/2025 12:44:57;;0;110550;21005;;;131555;;;;;0;;;;0;;;;
3;33;Del Giro;76821330-5;IMPERIAL S.A.;19225498;26/03/2025;26/03/2025 09:19:35;;0;4226152;802969;;;5029121;;;;;0;;;;0;;;;
4;33;Del Giro;96726970-0;CHILEMAT SpA;4705807;26/03/2025;26/03/2025 09:52:37;;0;435366;82720;;;518086;;;;;0;;;;0;;;;
5;33;Del Giro;96726970-0;CHILEMAT SpA;4705806;26/03/2025;26/03/2025 09:52:37;;0;647381;123002;;;770383;;;;;0;;;;0;;;;
6;33;Del Giro;96726970-0;CHILEMAT SpA;4706025;26/03/2025;26/03/2025 13:10:19;;0;946428;179821;;;1126249;;;;;0;;;;0;;;;
7;33;Del Giro;96726970-0;CHILEMAT SpA;4706026;26/03/2025;26/03/2025 13:10:19;;0;859275;163262;;;1022537;;;;;0;;;;0;;;;
8;33;Del Giro;96726970-0;CHILEMAT SpA;4706438;26/03/2025;26/03/2025 13:24:09;;0;40248;7647;;;47895;;;;;0;;;;0;;;;
9;33;Del Giro;96726970-0;CHILEMAT SpA;4706437;26/03/2025;26/03/2025 13:36:10;;0;11836;2249;;;14085;;;;;0;;;;0;;;;
10;33;Del Giro;96726970-0;CHILEMAT SpA;4706900;26/03/2025;26/03/2025 13:43:02;;0;4693081;891685;;;5584766;;;;;0;;;;0;;;;
11;33;Del Giro;96726970-0;CHILEMAT SpA;4706371;26/03/2025;26/03/2025 13:54:06;;0;45229;8594;;;53823;;;;;0;;;;0;;;;
12;33;Del Giro;96726970-0;CHILEMAT SpA;4706428;26/03/2025;26/03/2025 13:57:41;;0;201016;38193;;;239209;;;;;0;;;;0;;;;
13;33;Del Giro;96726970-0;CHILEMAT SpA;4706603;26/03/2025;26/03/2025 14:02:30;;0;938519;178319;;;1116838;;;;;0;;;;0;;;;
14;33;Del Giro;96726970-0;CHILEMAT SpA;4706730;26/03/2025;26/03/2025 14:02:30;;0;1242194;236017;;;1478211;;;;;0;;;;0;;;;
15;33;Del Giro;96726970-0;CHILEMAT SpA;4707307;27/03/2025;27/03/2025 14:22:42;;0;78056;14831;;;92887;;;;;0;;;;0;;;;
16;33;Del Giro;96726970-0;CHILEMAT SpA;4707311;27/03/2025;27/03/2025 14:22:42;;0;172519;32779;;;205298;;;;;0;;;;0;;;;
17;33;Del Giro;96726970-0;CHILEMAT SpA;4708140;27/03/2025;27/03/2025 15:29:26;;0;175509;33347;;;208856;;;;;0;;;;0;;;;
18;33;Del Giro;96726970-0;CHILEMAT SpA;4708677;27/03/2025;27/03/2025 15:43:33;;0;1016748;193182;;;1209931;;;;;0;;;;0;;;;
19;33;Del Giro;96726970-0;CHILEMAT SpA;4708964;27/03/2025;27/03/2025 17:07:22;;0;1546796;293891;;;1840687;;;;;0;;;;0;;;;
20;33;Del Giro;76543990-6;DISTRIBUIDORA ALADDIN Y CIA. LIMITADA;162270;27/03/2025;27/03/2025 21:41:25;;0;583292;110825;;;694117;;;;;0;;;;0;;;;
21;33;Del Giro;99061000-2;HDI SEGUROS S.A.;9013690;27/03/2025;28/03/2025 06:30:20;;48899;75652;14374;;;138925;;;;;0;;;;0;;;;
22;33;Del Giro;96726970-0;CHILEMAT SpA;4709056;28/03/2025;28/03/2025 09:51:35;;0;2474712;470195;;;2944907;;;;;0;;;;0;;;;
23;33;Del Giro;96726970-0;CHILEMAT SpA;4709169;28/03/2025;28/03/2025 09:57:49;;0;3464779;658308;;;4123087;;;;;0;;;;0;;;;
24;33;Del Giro;96726970-0;CHILEMAT SpA;4709308;28/03/2025;28/03/2025 10:04:29;;0;192056;36491;;;228546;;;;;0;;;;0;;;;
25;33;Del Giro;96726970-0;CHILEMAT SpA;4709599;28/03/2025;28/03/2025 13:21:44;;0;14203;2699;;;16902;;;;;0;;;;0;;;;
26;33;Del Giro;96726970-0;CHILEMAT SpA;4710247;28/03/2025;28/03/2025 17:25:25;;0;1367329;259792;;;1627121;;;;;0;;;;0;;;;
27;33;Del Giro;78809560-0;DISTRIBUIDORA Y COMERCIAL DIMAK LIMITADA;16352912;28/03/2025;29/03/2025 01:20:51;;0;389602;74024;;;463626;;;;;0;;;;0;;;;
28;33;Del Giro;78809560-0;DISTRIBUIDORA Y COMERCIAL DIMAK LIMITADA;16352911;28/03/2025;29/03/2025 01:25:04;;0;389602;74024;;;463626;;;;;0;;;;0;;;;
29;33;Del Giro;78809560-0;DISTRIBUIDORA Y COMERCIAL DIMAK LIMITADA;16352910;28/03/2025;29/03/2025 01:26:08;;0;231840;44049;;;275889;;;;;0;;;;0;;;;
30;33;Del Giro;76821330-5;IMPERIAL S.A.;19233446;28/03/2025;31/03/2025 09:11:24;;0;240145;45628;;;285773;;;;;0;;;;0;;;;
31;33;Del Giro;96726970-0;CHILEMAT SpA;4710533;31/03/2025;31/03/2025 10:31:38;;0;2584870;491125;;;3075995;;;;;0;;;;0;;;;
32;33;Del Giro;96726970-0;CHILEMAT SpA;4710487;31/03/2025;31/03/2025 10:31:38;;0;928017;176323;;;1104340;;;;;0;;;;0;;;;
33;33;Del Giro;96726970-0;CHILEMAT SpA;4710603;31/03/2025;31/03/2025 10:34:23;;0;1216743;231181;;;1447925;;;;;0;;;;0;;;;
34;33;Del Giro;96726970-0;CHILEMAT SpA;4710485;31/03/2025;31/03/2025 10:34:23;;0;192056;36491;;;228546;;;;;0;;;;0;;;;
35;33;Del Giro;96726970-0;CHILEMAT SpA;4710337;31/03/2025;31/03/2025 10:34:23;;0;168975;32105;;;201080;;;;;0;;;;0;;;;
36;33;Del Giro;96726970-0;CHILEMAT SpA;4710940;31/03/2025;31/03/2025 12:47:33;;0;3158715;600156;;;3758871;;;;;0;;;;0;;;;
37;33;Del Giro;96726970-0;CHILEMAT SpA;4712170;31/03/2025;31/03/2025 17:15:36;;0;51312;9749;;;61062;;;;;0;;;;0;;;;
38;33;Del Giro;96726970-0;CHILEMAT SpA;4712164;31/03/2025;31/03/2025 17:15:36;;0;2020266;383851;;;2404116;;;;;0;;;;0;;;;
39;33;Del Giro;96726970-0;CHILEMAT SpA;4712801;31/03/2025;01/04/2025 10:32:15;;0;265923;50525;;;316448;;;;;0;;;;0;;;;
40;33;Del Giro;96726970-0;CHILEMAT SpA;4712992;31/03/2025;01/04/2025 11:03:19;;0;3242432;616062;;;3858493;;;;;0;;;;0;;;;
41;33;Del Giro;96689310-9;TRANSBANK S.A.;54873630;28/03/2025;01/04/2025 12:03:33;;0;101598;19304;;;120902;;;;;0;;;;0;;;;
42;33;Del Giro;96726970-0;CHILEMAT SpA;4713071;31/03/2025;01/04/2025 14:41:13;;0;58015;11023;;;69037;;;;;0;;;;0;;;;
43;33;Del Giro;96726970-0;CHILEMAT SpA;4713138;31/03/2025;01/04/2025 15:32:18;;0;221835;42149;;;263983;;;;;0;;;;0;;;;
44;33;Del Giro;76058647-1;VERISURE CHILE SPA;10331486;01/04/2025;02/04/2025 00:37:13;;0;34902;6632;;;41534;;;;;0;;;;0;;;;
45;33;Del Giro;76058647-1;VERISURE CHILE SPA;10334752;01/04/2025;02/04/2025 00:37:58;;0;46017;8743;;;54760;;;;;0;;;;0;;;;
46;33;Del Giro;76072694-K;COMERCIAL SOLUEX SpA;514725;02/04/2025;02/04/2025 11:14:20;;0;224735;42700;;;267435;;;;;0;;;;0;;;;
47;33;Del Giro;76828790-2;MULTICAJA SA;2729028;31/03/2025;02/04/2025 11:17:55;;0;15169;2882;;;18051;;;;;0;;;;0;;;;
48;33;Del Giro;93772000-9;PRODALAM S.A.;6077276;02/04/2025;02/04/2025 14:37:19;;0;751568;142798;;;894366;;;;;0;;;;0;;;;
49;33;Del Giro;96726970-0;CHILEMAT SpA;4714693;02/04/2025;02/04/2025 17:10:27;;0;809628;153829;;;963457;;;;;0;;;;0;;;;
50;33;Del Giro;96726970-0;CHILEMAT SpA;4714694;02/04/2025;02/04/2025 17:10:27;;0;1205598;229064;;;1434662;;;;;0;;;;0;;;;
51;33;Del Giro;84348700-9;ADELCO SPA.;7234899;02/04/2025;02/04/2025 17:27:41;;0;29214;5551;;;34765;;;;;0;;;;0;;;;
52;33;Del Giro;96726970-0;CHILEMAT SpA;4715041;03/04/2025;03/04/2025 16:06:24;;0;904753;171903;;;1076656;;;;;0;;;;0;;;;
53;33;Del Giro;96726970-0;CHILEMAT SpA;4715619;03/04/2025;03/04/2025 16:44:17;;0;71625;13609;;;85234;;;;;0;;;;0;;;;
54;33;Del Giro;96726970-0;CHILEMAT SpA;4715636;03/04/2025;03/04/2025 16:49:22;;0;72981;13866;;;86847;;;;;0;;;;0;;;;
55;33;Del Giro;99546900-6;ISWITCH S A;1276600;31/03/2025;03/04/2025 17:36:31;;0;584675;111088;;;695763;;;;;0;;;;0;;;;
56;33;Del Giro;96726970-0;CHILEMAT SpA;4716438;04/04/2025;04/04/2025 13:46:47;;0;842921;160155;;;1003077;;;;;0;;;;0;;;;
57;33;Del Giro;81290800-6;COMPAÑÍA AGROPECUARIA COPEVAL S.A.;6004071;04/04/2025;04/04/2025 14:06:24;;0;1456358;276708;;;1733066;;;;;0;;;;0;;;;
58;33;Del Giro;78809560-0;DISTRIBUIDORA Y COMERCIAL DIMAK LIMITADA;16380222;04/04/2025;04/04/2025 22:48:53;;0;31578;5999;;;37577;;;;;0;;;;0;;;;
59;33;Del Giro;78809560-0;DISTRIBUIDORA Y COMERCIAL DIMAK LIMITADA;16380226;04/04/2025;04/04/2025 22:49:39;;0;10029;1905;;;11934;;;;;0;;;;0;;;;
60;33;Del Giro;78809560-0;DISTRIBUIDORA Y COMERCIAL DIMAK LIMITADA;16380225;04/04/2025;04/04/2025 22:51:04;;0;58259;11069;;;69328;;;;;0;;;;0;;;;
61;33;Del Giro;78809560-0;DISTRIBUIDORA Y COMERCIAL DIMAK LIMITADA;16380224;04/04/2025;04/04/2025 22:52:14;;0;63387;12043;;;75430;;;;;0;;;;0;;;;
62;33;Del Giro;78809560-0;DISTRIBUIDORA Y COMERCIAL DIMAK LIMITADA;16380223;04/04/2025;04/04/2025 22:53:18;;0;54149;10288;;;64437;;;;;0;;;;0;;;;
63;33;Del Giro;96726970-0;CHILEMAT SpA;4716854;07/04/2025;07/04/2025 12:08:26;;0;2474712;470195;;;2944907;;;;;0;;;;0;;;;
64;33;Del Giro;96726970-0;CHILEMAT SpA;4717390;07/04/2025;07/04/2025 12:46:24;;0;574308;109119;;;683427;;;;;0;;;;0;;;;
65;33;Del Giro;96726970-0;CHILEMAT SpA;4717724;07/04/2025;07/04/2025 13:05:38;;0;165946;31530;;;197475;;;;;0;;;;0;;;;
66;33;Del Giro;84348700-9;ADELCO SPA.;7236077;07/04/2025;07/04/2025 18:57:23;;0;92606;17595;;;110201;;;;;0;;;;0;;;;
67;33;Del Giro;76821330-5;IMPERIAL S.A.;19257474;08/04/2025;08/04/2025 09:19:27;;0;299925;56986;;;356911;;;;;0;;;;0;;;;
68;33;Del Giro;96726970-0;CHILEMAT SpA;4717957;08/04/2025;08/04/2025 11:34:00;;0;668426;127001;;;795426;;;;;0;;;;0;;;;
69;33;Del Giro;96726970-0;CHILEMAT SpA;4717958;08/04/2025;08/04/2025 11:34:00;;0;618901;117591;;;736492;;;;;0;;;;0;;;;
70;33;Del Giro;96726970-0;CHILEMAT SpA;4717959;08/04/2025;08/04/2025 11:34:00;;0;481023;91394;;;572418;;;;;0;;;;0;;;;
71;33;Del Giro;96726970-0;CHILEMAT SpA;4718021;08/04/2025;08/04/2025 11:44:36;;0;365218;69391;;;434609;;;;;0;;;;0;;;;
72;33;Del Giro;96726970-0;CHILEMAT SpA;4718591;08/04/2025;08/04/2025 12:26:48;;0;1844112;350381;;;2194493;;;;;0;;;;0;;;;
73;33;Del Giro;78614220-2;SOC TALLER AUTOMOTRIZ Y FORESTAL GALICIA LIMITADA;15415;08/04/2025;08/04/2025 13:06:56;;0;129000;24510;;;153510;;;;;0;;;;0;;;;
74;33;Del Giro;76821330-5;IMPERIAL S.A.;19260714;09/04/2025;09/04/2025 10:01:08;;0;1985364;377219;;;2362583;;;;;0;;;;0;;;;
75;33;Del Giro;76821330-5;IMPERIAL S.A.;19260715;09/04/2025;09/04/2025 10:01:08;;0;1663723;316107;;;1979830;;;;;0;;;;0;;;;
76;33;Del Giro;76821330-5;IMPERIAL S.A.;19260716;09/04/2025;09/04/2025 10:01:08;;0;93036;17677;;;110713;;;;;0;;;;0;;;;
77;33;Del Giro;76821330-5;IMPERIAL S.A.;19260717;09/04/2025;09/04/2025 10:01:08;;0;736847;140001;;;876848;;;;;0;;;;0;;;;
78;33;Del Giro;96568740-8;GASCO GLP S.A.;11379796;07/04/2025;09/04/2025 11:45:28;;0;146823;27896;;;174719;;;;;0;;;;0;;;;
79;33;Del Giro;81290800-6;COMPAÑÍA AGROPECUARIA COPEVAL S.A.;6004212;09/04/2025;09/04/2025 12:54:31;;0;2037852;387192;;;2425044;;;;;0;;;;0;;;;
80;33;Del Giro;77581202-8;ASERRADERO CÁDIZ SPA;141;09/04/2025;09/04/2025 16:59:53;;0;1360800;258552;;;1619352;;;;;0;;;;0;;;;
81;33;Del Giro;76072694-K;COMERCIAL SOLUEX SpA;516481;10/04/2025;10/04/2025 10:23:37;;0;438953;83401;;;522354;;;;;0;;;;0;;;;
